labels,sensibilidades,especificidades
0,0.08097206816577594,0.9741858537670056
1,0.547953131780703,0.7064753966981888
2,0.0,0.9853253105926151
3,0.0,0.6542174364787003
4,0.4385517593064763,0.9753794066110303
5,0.866595121145829,0.9670556393646286
